WPFXA0101,Default,//*[name(.)='Border']/@Visibility[.='Visible'],"Visibility=""Visible""はデフォルト値です。"
WPFXA0102,Default,//*[name(.)='Border']/@IsEnabled[.='True'],"IsEnabled=""True""はデフォルト値です。"
WPFXA0103,Default,//*[name(.)='Border']/@HorizontalAlignment[.='Stretch'],"HorizontalAlignment=""Stretch""はデフォルト値です。"
WPFXA0104,Default,//*[name(.)='Border']/@VerticalAlignment[.='Stretch'],"VerticalAlignment=""Stretch""はデフォルト値です。"
WPFXA0105,Default,"//*[name(.)='Border'][not(@Name)]/@Margin[.='0' or .='0,0' or .='0 0' or .='0,0,0,0' or .='0 0 0 0']","Margin=""0""はデフォルト値です。"
WPFXA0106,Default,"//*[name(.)='Border'][not(@Name)]/@Padding[.='0' or .='0,0' or .='0 0' or .='0,0,0,0' or .='0 0 0 0']","Padding=""0""はデフォルト値です。"
WPFXA0107,Error,//*[name(.)='Border'][not(@Name)]/@BorderBrush[.='Transparent'],"BorderBrush=""Transparent""を指定しなくとも背景は透明です。"
WPFXA0108,Default,"//*[name(.)='Border']/@BorderThickness[.='0' or .='0,0' or .='0 0' or .='0,0,0,0' or .='0 0 0 0']","BorderThickness=""0""はデフォルト値です。"
WPFXA0109,Error,"//*[name(.)='Border'][not(@Style)][not(@Background)][not(@BorderThickness) or @BorderThickness[.='0' or .='0 0' or .='0,0' or .='0 0 0 0' or .='0,0,0,0']]",BorderのStyle属性もBackground属性もBordertThickness属性もありません。背景色も罫線も持たないBorderは表示されないので入れ子を解除して下さい。
WPFXA0110,Error,//*[name(.)='Border'][not(@Width)][@HorizontalAlignment]/*/@HorizontalAlignment,HorizontalAlignment属性が指定されたBorder配下の要素のHorizontalAlignmentは機能しません。
WPFXA0111,Error,//*[name(.)='Border'][not(@Height)][@VerticalAlignment]/*/@VerticalAlignment,VerticalAlignment属性が指定されたBorder配下の要素のVerticalAlignmentは機能しません。
WPFXA0201,Default,//*[name(.)='StackPanel']/@Visibility[.='Visible'],"Visibility=""Visible""はデフォルト値です。"
WPFXA0202,Default,//*[name(.)='StackPanel']/@IsEnabled[.='True'],"IsEnabled=""True""はデフォルト値です。"
WPFXA0203,Default,//*[name(.)='StackPanel']/@HorizontalAlignment[.='Stretch'],"HorizontalAlignment=""Stretch""はデフォルト値です。"
WPFXA0204,Default,//*[name(.)='StackPanel']/@VerticalAlignment[.='Stretch'],"VerticalAlignment=""Stretch""はデフォルト値です。"
WPFXA0205,Default,"//*[name(.)='StackPanel'][not(@Name)]/@Margin[.='0' or .='0,0' or .='0 0' or .='0,0,0,0' or .='0 0 0 0']","Margin=""0""はデフォルト値です。"
WPFXA0206,Warning,//*[name(.)='StackPanel'][@Orientation='Vertical'],"StackPanel.Orientation=""Vertical""はデフォルト値です。"
WPFXA0207,Error,"//*[name(.)='StackPanel'][*[not(starts-with(local-name(.),'StackPanel.'))][1]][not(*[not(starts-with(local-name(.),'StackPanel.'))][2])]",StackPanelの子要素が1つしかありません。子要素を複数持たないStackPanelは不要な入れ子なので解除するか、Borderに変更できます。
WPFXA0208,Error,//*[name(.)='StackPanel'][not(@Orientation=('Horizontal'))]/@HorizontalAlignment[.='Center' or .='Left'],縦方向StackPanelではなく、内部のコントロールに対してHorizontalAlignmentを設定すべきです。
WPFXA0209,Error,//*[name(.)='StackPanel'][@Orientation='Horizontal']/@VerticalAlignment[.='Center' or .='Top'],横方向StackPanelではなく、内部のコントロールに対してVerticalAlignmentを設定すべきです。
WPFXA0210,Warning,//*[name(.)='StackPanel'][not(@Orientation='Horizontal')]/*/@VerticalAlignment,縦方向StackPanel配下のVerticalAlignmentは機能しません。
WPFXA0211,Warning,//*[name(.)='StackPanel'][@Orientation='Horizontal']/*/@HorizontalAlignment,横方向StackPanel配下のHorizontalAlignmentは機能しません。
WPFXA0212,Warning,//*[name(.)='StackPanel'][@Orientation='Horizontal']/*[not(@Width)]/@TextAlignment,横方向StackPanel配下のTextAlignmentは機能しません。
WPFXA0301,Default,//*[name(.)='Grid']/@Visibility[.='Visible'],"Visibility=""Visible""はデフォルト値です。"
WPFXA0302,Default,//*[name(.)='Grid']/@IsEnabled[.='True'],"IsEnabled=""True""はデフォルト値です。"
WPFXA0303,Default,//*[name(.)='Grid']/@HorizontalAlignment[.='Stretch'],"HorizontalAlignment=""Stretch""はデフォルト値です。"
WPFXA0304,Default,//*[name(.)='Grid']/@VerticalAlignment[.='Stretch'],"VerticalAlignment=""Stretch""はデフォルト値です。"
WPFXA0305,Default,"//*[name(.)='Grid'][not(@Name)]/@Margin[.='0' or .='0,0' or .='0 0' or .='0,0,0,0' or .='0 0 0 0']","Margin=""0""はデフォルト値です。"
